Ligand,RECRUITER_CODE,smiles_atom_index,smile_atom
1AQ,LR00563,13,O
1AQ,LR00563,14,C
1AQ,LR00563,15,C
1AQ,LR00563,16,N
1AQ,LR00563,17,C
1AQ,LR00563,18,C
1AQ,LR00563,19,C
1AQ,LR00563,20,C
1AQ,LR00563,21,C
1AQ,LR00563,22,F
1AQ,LR00563,23,F
1AQ,LR00563,24,C
1AQ,LR00563,25,C
1AQ,LR00563,26,C
1AQ,LR00563,27,C
1AQ,LR00563,28,O
1AQ,LR00563,29,N
1AQ,LR00563,30,C
1AQ,LR00563,31,C
1AQ,LR00563,32,C
1AQ,LR00563,33,O
1AQ,LR00563,34,C
1AQ,LR00563,35,C
1AQ,LR00563,36,C
1AQ,LR00563,37,C
1AQ,LR00563,38,C
1AQ,LR00563,39,C
1AQ,LR00563,40,C
1AQ,LR00563,41,N
1AQ,LR00563,42,C
1AQ,LR00596,0,C
1AQ,LR00596,1,C
1AQ,LR00596,2,O
1AQ,LR00596,3,C
1AQ,LR00596,4,C
1AQ,LR00596,5,C
1AQ,LR00596,6,C
1AQ,LR00596,7,N
1AQ,LR00596,8,C
1AQ,LR00596,9,O
1AQ,LR00596,10,C
1AQ,LR00596,11,N
1AQ,LR00596,12,C
1AQ,LR00596,13,O
1AQ,LR00596,14,C
1AQ,LR00596,15,C
1AQ,LR00596,16,N
1AQ,LR00596,17,C
1AQ,LR00596,18,C
1AQ,LR00596,19,C
1AQ,LR00596,20,C
1AQ,LR00596,21,C
1AQ,LR00596,22,F
1AQ,LR00596,23,F
1AQ,LR00596,24,C
1AQ,LR00596,25,C
1AQ,LR00596,26,C
1AQ,LR00596,27,C
1AQ,LR00596,28,O
1AQ,LR00596,29,N
1AQ,LR00596,30,C
1AQ,LR00596,31,C
1AQ,LR00596,32,C
1AQ,LR00596,33,O
1AQ,LR00596,34,C
1AQ,LR00596,35,C
1AQ,LR00596,36,C
1AQ,LR00596,37,C
1AQ,LR00596,38,C
1AQ,LR00596,39,C
1AQ,LR00596,40,C
1AQ,LR00596,41,N
1AQ,LR00596,42,C
1BG,LR00595,0,C
1BG,LR00595,1,N
1BG,LR00595,2,C
1BG,LR00595,3,C
1BG,LR00595,4,C
1BG,LR00595,5,O
1BG,LR00595,6,N
1BG,LR00595,7,C
1BG,LR00595,8,C
1BG,LR00595,9,C
1BG,LR00595,10,C
1BG,LR00595,11,C
1BG,LR00595,12,C
1BG,LR00595,13,C
1BG,LR00595,14,C
1BG,LR00595,15,O
1BG,LR00595,16,N
1BG,LR00595,17,C
1BG,LR00595,18,C
1BG,LR00595,19,C
1BG,LR00595,20,C
1BG,LR00595,21,C
1BG,LR00595,22,N
1BG,LR00595,23,C
1BG,LR00595,24,C
1BG,LR00595,25,C
1BG,LR00595,26,O
1BG,LR00595,27,N
1BG,LR00595,28,C
1BG,LR00595,29,C
1BG,LR00595,30,C
1BG,LR00595,31,C
1BG,LR00595,32,C
1BG,LR00595,33,C
1BG,LR00595,34,C
1BG,LR00595,35,C
1BG,LR00595,36,C
1BG,LR00595,37,C
1GI,LR00362,0,C
1GI,LR00362,1,C
1GI,LR00362,2,N
1GI,LR00362,3,C
1GI,LR00362,4,N
1GI,LR00362,5,C
1GI,LR00362,6,C
1GI,LR00362,7,O
1GI,LR00362,8,O
1GI,LR00362,9,N
1GI,LR00362,10,C
1GI,LR00362,11,N
1GI,LR00362,12,C
1GI,LR00362,13,C
1GI,LR00362,14,C
1GI,LR00362,15,C
1GI,LR00362,16,C
1GI,LR00362,17,S
1GI,LR00362,18,C
1GI,LR00362,19,C
1GI,LR00362,20,C
1GI,LR00362,21,C
1GI,LR00362,22,N
1GI,LR00362,23,C
1GI,LR00362,24,C
1GI,LR00362,25,C
1GI,LR00362,26,C
1GI,LR00362,27,C
1GI,LR00362,28,Cl
1GI,LR00362,29,C
1GI,LR00362,30,C
1GI,LR00362,31,C
1GI,LR00362,32,C
1GI,LR00362,33,C
1GI,LR00362,34,C
1I0,LR00363,0,C
1I0,LR00363,1,C
1I0,LR00363,2,C
1I0,LR00363,3,C
1I0,LR00363,4,C
1I0,LR00363,5,C
1I0,LR00363,6,N
1I0,LR00363,7,C
1I0,LR00363,8,C
1I0,LR00363,9,C
1I0,LR00363,10,C
1I0,LR00363,11,N
1I0,LR00363,12,C
1I0,LR00363,13,C
1I0,LR00363,14,Cl
1I0,LR00363,15,C
1I0,LR00363,16,N
1I0,LR00363,17,C
1I0,LR00363,18,C
