RECRUITER_CODE,smiles_atom_index,smile_atom
LR00057,40,F
LR00057,41,C
LR00058,0,N
LR00058,1,C
LR00058,2,C
LR00058,3,C
LR00058,4,C
LR00058,5,C
LR00058,6,N
LR00058,7,C
LR00058,8,C
LR00058,9,N
LR00058,10,C
LR00058,11,C
LR00058,12,C
LR00058,13,C
LR00058,14,C
LR00058,15,C
LR00058,16,O
LR00058,17,C
LR00058,18,C
LR00058,19,C
LR00058,20,C
LR00058,21,C
LR00058,22,C
LR00058,23,C
LR00058,24,N
LR00058,25,C
LR00058,26,C
LR00058,27,C
LR00058,28,C
LR00058,29,O
LR00058,30,N
LR00058,31,C
LR00058,32,O
LR00058,33,C
LR00058,34,O
LR00058,35,C
LR00058,36,C
LR00058,37,C
LR00058,38,C
LR00058,39,C
LR00058,40,F
LR00058,41,C
LR00059,0,O
LR00059,1,C
LR00059,2,C
LR00059,3,C
LR00059,4,C
LR00059,5,N
LR00059,6,C
LR00059,7,C
LR00059,8,C
LR00059,9,O
LR00059,10,C
LR00059,11,C
LR00059,12,C
LR00059,13,C
LR00059,14,C
LR00059,15,C
LR00059,16,N
LR00059,17,C
LR00059,18,C
LR00059,19,O
LR00059,20,C
LR00059,21,C
LR00059,22,C
LR00059,23,C
LR00059,24,C
LR00059,25,C
LR00059,26,C
LR00059,27,C
LR00059,28,C
LR00059,29,O
LR00059,30,C
LR00059,31,O
LR00059,32,N
LR00060,0,N
LR00060,1,C
LR00060,2,C
LR00060,3,C
LR00060,4,C
LR00060,5,C
LR00060,6,C
LR00060,7,C
LR00060,8,O
LR00060,9,N
LR00060,10,C
LR00060,11,C
LR00060,12,C
LR00060,13,C
LR00060,14,O
LR00060,15,N
LR00060,16,C
LR00060,17,O
LR00060,18,C
LR00060,19,O
LR00061,0,O
LR00061,1,C
LR00061,2,C
LR00061,3,C
LR00061,4,C
LR00061,5,N
LR00061,6,C
LR00061,7,C
LR00061,8,C
LR00061,9,C
LR00061,10,C
LR00061,11,C
LR00061,12,C
LR00061,13,N
LR00061,14,C
LR00061,15,C
LR00061,16,C
LR00061,17,C
LR00061,18,C
LR00061,19,C
LR00061,20,C
LR00061,21,C
LR00061,22,C
LR00061,23,C
LR00061,24,C
LR00061,25,C
LR00061,26,C
LR00061,27,O
LR00061,28,C
LR00061,29,O
LR00061,30,N
LR00062,0,O
LR00062,1,C
LR00062,2,C
LR00062,3,C
LR00062,4,C
LR00062,5,N
LR00062,6,C
LR00062,7,C
LR00062,8,C
LR00062,9,C
LR00062,10,N
LR00062,11,C
LR00062,12,N
LR00062,13,O
LR00062,14,C
LR00062,15,C
LR00062,16,C
LR00062,17,C
LR00062,18,C
LR00062,19,C
LR00062,20,C
LR00062,21,C
LR00062,22,C
LR00062,23,C
LR00062,24,O
LR00062,25,C
LR00062,26,O
LR00062,27,N
LR00063,0,N
LR00063,1,C
LR00063,2,C
LR00063,3,C
LR00063,4,C
LR00063,5,C
LR00063,6,C
LR00063,7,C
LR00063,8,O
LR00063,9,N
LR00063,10,C
LR00063,11,C
LR00063,12,C
LR00063,13,C
LR00063,14,O
LR00063,15,N
LR00063,16,C
LR00063,17,O
LR00063,18,C
LR00063,19,O
LR00064,0,C
LR00064,1,O
LR00064,2,C
LR00064,3,C
LR00064,4,C
LR00064,5,C
LR00064,6,N
LR00064,7,C
LR00064,8,C
LR00064,9,C
LR00064,10,O
LR00064,11,N
LR00064,12,C
LR00064,13,C
LR00064,14,C
LR00064,15,C
LR00064,16,O
LR00064,17,N
LR00064,18,C
LR00064,19,O
LR00064,20,C
LR00064,21,O
LR00065,0,O
LR00065,1,C
LR00065,2,C
LR00065,3,C
LR00065,4,C
LR00065,5,N
LR00065,6,C
LR00065,7,O
LR00065,8,C
LR00065,9,C
LR00065,10,C
LR00065,11,C
LR00065,12,C
LR00065,13,C
LR00065,14,C
LR00065,15,O
LR00065,16,C
LR00065,17,O
LR00065,18,N
LR00066,0,N
LR00066,1,C
LR00066,2,C
LR00066,3,C
LR00066,4,C
LR00066,5,C
LR00066,6,O
LR00066,7,N
LR00066,8,C
LR00066,9,C
LR00066,10,C
LR00066,11,C
LR00066,12,O
LR00066,13,N
LR00066,14,C
LR00066,15,O
LR00066,16,C
LR00066,17,Cl
LR00066,18,C
LR00067,0,N
LR00067,1,C
LR00067,2,C
LR00067,3,C
LR00067,4,C
LR00067,5,C
LR00067,6,O
LR00067,7,N
LR00067,8,C
LR00067,9,C
LR00067,10,C
