SMILES,RECRUITER_CODE
CC(O)N1CCN([C@@H]2CC[C@H]3[C@H](NCCN)N[C@@H](C4(C5CCC(Cl)CC5)CCCCC4)N[C@@H]3C2)CC1,LR00135
COCCNC(O)CCC1NCC(C(O)N[C@@H](CC(N)O)[C@H]2CC[C@@H](F)C(Cl)C2)C1C1CCC(Cl)CC1F,LR00136
CN1C[C@H]([C@H]2NCC(C(O)N[C@@H](CC(N)O)[C@H]3CC[C@@H](F)C(Cl)C3)[C@H]2C2CCC(Cl)CC2F)CN1,LR00137
COCCCC1NC[C@@H](C(O)N[C@@H](CC(N)O)[C@H]2CCC(F)C(Cl)C2)[C@H]1C1CCC(Cl)CC1F,LR00138
NC(O)C[C@H](NC(O)C1CNC(CCC(O)N2CCCCC2)C1C1CCC(Cl)CC1F)[C@H]1CC[C@@H](F)C(Cl)C1,LR00139
CCNC(O)CCC1NC[C@@H](C(O)N[C@@H](C[C@H](N)O)[C@H]2CC[C@@H](F)[C@H](Cl)C2)C1C1CCC(Cl)CC1F,LR00140
NC(O)C[C@H](NC(O)[C@@H]1CN[C@@H](C2CNN(CC[NH+]3CCOCC3)C2)[C@@H]1C1CCC(Cl)C[C@H]1F)[C@H]1CCC(F)C(Cl)C1,LR00141
CC1CCC(NS(O)(O)C2CCCC(CN)C2)C2NCC(CN)C12,LR00142
CC1CCC(NS(O)(O)C2CCCC(CN)C2)C2NCC(CN)C12,LR00143
O[C@@H](NS(O)(O)[C@@H]1CCC(Br)S1)[C@H]1CC[C@@H](Cl)C[C@H]1Cl,LR00144
NS(O)(O)C1CCC(S(O)(O)NC2CCCC3C(Cl)CNC23)CC1,LR00145
NS(O)(O)C1CCC(S(O)(O)NC2CCCC3C(Cl)CNC23)CC1,LR00146
NS(O)(O)C1CCC(S(O)(O)NC2CCCC3C(Cl)CNC23)CC1,LR00147
CC1CCC(NS(O)(O)C2CCC(CN)CC2)C2NCC(CN)C12,LR00148
CC1CC(S(O)(O)NC2CCC(Cl)C3C(Cl)CNC23)OC1C(O)N(C)C,LR00149
CNC(O)C1CCN(C(O)C2OC(S(O)(O)NC3CCC(Cl)C4C(Cl)CNC34)CC2C)CC1,LR00150
CCS(O)(O)NC1CCC(C2N[C@@H](CC(O)OC(C)(C)C)C3NNC(C)N3[C@@H]3SC(C)C(C)[C@H]23)CC1,LR00151
OC(CNC[C@H]1CC2CCCCC2N1)N[C@H]1CC[C@@H](C2NC3CCCCC3N2)CC1,LR00152
COC(O)CCCNC(O)C1CC2CCCC2NC1O,LR00153
COC1CCCCC1[C@H](O)CCC1CCCCC1C(O)O,LR00154
CN1C[C@H]([C@H]2CCC(C(O)O)[C@@H](CCC(O)C3C(F)CC(C4CNNC4)CC3F)C2)CN1,LR00155
