Unified_Scaffold_ID,Supercluster_Key,Scaffold_Hash,Representative_Scaffold_SMILES,Representative_Murcko_SMILES,Scaffold_Class,Ligase_Count,Ligases,Ligase_Local_Scaffold_Count,Original_Scaffold_ID_Group,Recruiter_Count,Recruiter_Code_Group,Is_Cross_Ligase_Supercluster
LR-SCAF00303,ca5eeffe,ca5eeffe,C1CN(CC2CSNN2)CCO1,C1CN(CC2CSNN2)CCO1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_17,2,LR00405;LR00406,False
LR-SCAF00314,d01f36bc,d01f36bc,C1CCC2C(C1)CCN2CCN1CC[NH2+]CC1,C1CCC2C(C1)CCN2CCN1CC[NH2+]CC1,Polycyclic_Hetero,1,XIAP,1,XIAP_SCAF_15,2,LR00573;LR00575,False
LR-SCAF00315,d068cd94,d068cd94,C1CCC(NCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,C1CCC(NCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_3,2,LR00021;LR00111,False
LR-SCAF00319,d442e4d3,d442e4d3,C1CCC2CNCC2C1,C1CCC2CNCC2C1,Bicyclic_Hetero,1,HUWE1,1,HUWE1_SCAF_1,2,LR00156;LR00157,False
LR-SCAF00321,d6c24203,d6c24203,C1CC(CC2CCC3NNNC3C2)CC(CN2CCOC3CCCCC3S2)C1,C1CC(CC2CCC3NNNC3C2)CC(CN2CCOC3CCCCC3S2)C1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_15,2,LR00177;LR00188,False
LR-SCAF00325,dd6e25dc,dd6e25dc,C1CCC(N2CCCC2)NC1,C1CCC(N2CCCC2)NC1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_6,2,LR00392;LR00454,False
LR-SCAF00340,e48c70e3,e48c70e3,C1CCC(SC[C@H]2CCCNC2)CC1,C1CCC(SC[C@H]2CCCNC2)CC1,Bicyclic_Hetero,1,CRBN,1,CRBN_SCAF_17,2,LR00053;LR00054,False
LR-SCAF00341,e65383dc,e65383dc,C1CCC([C@H]2C3CN(C4CNCNC4)NC3CN2C2CCCNC2)CC1,C1CCC([C@H]2C3CN(C4CNCNC4)NC3CN2C2CCCNC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_54,2,LR00342;LR00347,False
LR-SCAF00347,eccebd60,eccebd60,C1CSCN1,C1CSCN1,Monocyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_35,2,LR00433;LR00481,False
LR-SCAF00348,ed5de95c,ed5de95c,C1CO[C@H](O[C@@H]2CCO[C@H]2N2CNC3CNCNC32)C1,C1CO[C@H](O[C@@H]2CCO[C@H]2N2CNC3CNCNC32)C1,Polycyclic_Hetero,1,RNF146,1,RNF146_SCAF_1,2,LR00379;LR00380,False
