Ligase,Scaffold_ID,Recruiter_Count,Scaffold_Hash,Original_Scaffold_ID_Group
MDM2,LR-SCAF00127,1,59a4b7b9,MDM2_SCAF_68
MDM2,LR-SCAF00134,1,5e762187,MDM2_SCAF_60
MDM2,LR-SCAF00138,1,60206d7e,MDM2_SCAF_14
MDM2,LR-SCAF00139,1,602da2b8,MDM2_SCAF_13
MDM2,LR-SCAF00143,1,6367056e,MDM2_SCAF_24
MDM2,LR-SCAF00147,1,67641f8b,MDM2_SCAF_6
MDM2,LR-SCAF00149,1,6b26f3cb,MDM2_SCAF_58
MDM2,LR-SCAF00155,1,71e77d66,MDM2_SCAF_10
MDM2,LR-SCAF00161,1,760ab01a,MDM2_SCAF_760ab01a
MDM2,LR-SCAF00162,1,76cf83bf,MDM2_SCAF_55
MDM2,LR-SCAF00178,1,81b81ee0,MDM2_SCAF_37
MDM2,LR-SCAF00180,1,81d75b80,MDM2_SCAF_32
MDM2,LR-SCAF00184,1,8280ebad,MDM2_SCAF_34
MDM2,LR-SCAF00194,1,8644b171,MDM2_SCAF_64
MDM2,LR-SCAF00196,1,87ccdfb5,MDM2_SCAF_61
MDM2,LR-SCAF00201,1,89c2f209,MDM2_SCAF_15
MDM2,LR-SCAF00202,1,89d1b783,MDM2_SCAF_48
MDM2,LR-SCAF00206,1,8b7236b6,MDM2_SCAF_5
MDM2,LR-SCAF00223,1,934dcdfd,MDM2_SCAF_39
MDM2,LR-SCAF00226,1,94995f78,MDM2_SCAF_38
MDM2,LR-SCAF00228,1,9682f4ff,MDM2_SCAF_47
MDM2,LR-SCAF00233,1,9ae6da2b,MDM2_SCAF_52
MDM2,LR-SCAF00258,1,ab87471f,MDM2_SCAF_65
MDM2,LR-SCAF00277,1,b802407d,MDM2_SCAF_2
MDM2,LR-SCAF00288,1,c0cae208,MDM2_SCAF_51
MDM2,LR-SCAF00292,1,c246366b,MDM2_SCAF_66
MDM2,LR-SCAF00301,1,c9b79d6e,MDM2_SCAF_53
MDM2,LR-SCAF00313,1,d000c614,MDM2_SCAF_30
MDM2,LR-SCAF00327,1,dff1bb21,MDM2_SCAF_69
MDM2,LR-SCAF00331,1,e1a2b3c4,MDM2_SCAF_63
MDM2,LR-SCAF00338,1,e3aa9b75,MDM2_SCAF_46
MDM2,LR-SCAF00342,1,e7872517,MDM2_SCAF_9
MDM2,LR-SCAF00369,1,fe02860c,MDM2_SCAF_40
MDM2,LR-SCAF00370,1,fe15cea1,MDM2_SCAF_36
MDMX,LR-SCAF00166,3,788cb04f,MDMX_SCAF_2
MDMX,LR-SCAF00169,1,7a0f29f7,MDMX_SCAF_1
Parkin,LR-SCAF00298,1,c7612d7c,Parkin_SCAF_1
RNF146,LR-SCAF00348,2,ed5de95c,RNF146_SCAF_1
SOCS2,LR-SCAF00232,6,9a4eb7a7,SOCS2_SCAF_1
TRIM21,LR-SCAF00231,12,9970801b,TRIM21_SCAF_2
TRIM21,LR-SCAF00219,6,927a5aa0,TRIM21_SCAF_19
TRIM21,LR-SCAF00220,4,92b2068f,TRIM21_SCAF_24
TRIM21,LR-SCAF00345,3,e8cf6b39,TRIM21_SCAF_27
TRIM21,LR-SCAF00115,2,52affb69,TRIM21_SCAF_76
TRIM21,LR-SCAF00245,2,a0d1dc95,TRIM21_SCAF_16
TRIM21,LR-SCAF00302,2,ca2a6d6b,TRIM21_SCAF_49
TRIM21,LR-SCAF00303,2,ca5eeffe,TRIM21_SCAF_17
TRIM21,LR-SCAF00325,2,dd6e25dc,TRIM21_SCAF_6
TRIM21,LR-SCAF00347,2,eccebd60,TRIM21_SCAF_35
TRIM21,LR-SCAF00359,2,f55f0cdc,TRIM21_SCAF_14
TRIM21,LR-SCAF00001,1,0083d9fe,TRIM21_SCAF_43
TRIM21,LR-SCAF00008,1,053d8906,TRIM21_SCAF_39
TRIM21,LR-SCAF00010,1,06f0bb70,TRIM21_SCAF_29
TRIM21,LR-SCAF00029,1,0faf60ca,TRIM21_SCAF_51
TRIM21,LR-SCAF00035,1,133168ec,TRIM21_SCAF_71
TRIM21,LR-SCAF00038,1,15b30740,TRIM21_SCAF_68
TRIM21,LR-SCAF00044,1,1cb86c8a,TRIM21_SCAF_62
TRIM21,LR-SCAF00050,1,25ff9195,TRIM21_SCAF_72
TRIM21,LR-SCAF00064,1,31cd49bd,TRIM21_SCAF_10
TRIM21,LR-SCAF00066,1,32fb4803,TRIM21_SCAF_1
TRIM21,LR-SCAF00068,1,33529d62,TRIM21_SCAF_73
TRIM21,LR-SCAF00071,1,355b794b,TRIM21_SCAF_59
TRIM21,LR-SCAF00073,1,3601580f,TRIM21_SCAF_34
