SMILES,Recruiter_1,Recruiter_2,Recruiter_3,Recruiter_4,Recruiter_5,Recruiter_6,Recruiter_7,Recruiter_8,Recruiter_9,Recruiter_10,Recruiter_11,Recruiter_12,Recruiter_13,Recruiter_14,Recruiter_15,Recruiter_16,Recruiter_17,Recruiter_18,Recruiter_19,Recruiter_20
CC1NCSC1C1CCC(CN[C@@H](O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H](N[C@H](O)CO)C(C)(C)C)CC1,LR00515,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC(CN[C@@H](O)[C@@H]2C[C@@H](O)CN2[C@H](O)[C@@H](N[C@H](O)C2(F)CC2)C(C)(C)C)CC1,LR00517,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC(CN[C@@H](O)[C@@H]2C[C@@H](O)CN2[C@H](O)[C@@H](N[C@H](O)C2CCC2)C(C)(C)C)CC1,LR00521,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC([C@H](C)NC(O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H](NC(O)C2(F)CC2)C(C)(C)C)CC1,LR00552,,,,,,,,,,,,,,,,,,,
CC1NCSC1C1CCC([C@H](C)NC(O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H]2CCCCN2C(O)C2(F)CC2)CC1,LR00553,,,,,,,,,,,,,,,,,,,
CC1NCS[C@@H]1C1CC2CCC[C@H](NC(O)[C@@H]3C[C@@H](O)CN3C(O)[C@@H](NC(O)C3(F)CC3)C(C)(C)C)C2CC1F,LR00535,,,,,,,,,,,,,,,,,,,
CC1NCS[C@H]1C1CCC(CNC(O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H](NC(O)C2(F)CC2)C(C)(C)SC[C@H]2CC[C@@H](CN3CCOCC3)CC2)CC1,LR00544,,,,,,,,,,,,,,,,,,,
CC1NCS[C@H]1C1CCC(CNC(O)[C@@H]2C[C@@H](O)CN2C(O)[C@@H]2CCC[C@H](N)C2C)CC1,LR00501,,,,,,,,,,,,,,,,,,,
CC1NCS[C@H]1C1CCC(CNC(O)[C@H]2C[C@@H](O)CN([C@@H]3CCCCN3)[C@H]2O)CC1,LR00538,,,,,,,,,,,,,,,,,,,
CC1NN(C)C2C(O)NNCC12,LR00446,,,,,,,,,,,,,,,,,,,
CC1NNC2N1C1CCC(C3CNN(CCCCCCCN4CCC(C5CCCC6C5CN([C@H]5CCC(O)NC5O)C6O)CC4)C3)CC1[C@H](C1CCC(Cl)CC1)NC21CC1,LR00078,,,,,,,,,,,,,,,,,,,
CC1NN[C@H](N2CCCCC2)S1,LR00464,,,,,,,,,,,,,,,,,,,
CC1NS[C@H](N2CCCNCC2)N1,LR00428,,,,,,,,,,,,,,,,,,,
CC1N[C@H](C2CCC(Cl)CC2)[C@H](C2CCC(Cl)CC2)N1,LR00283,LR00284,,,,,,,,,,,,,,,,,,
CCC(O)NC1CC(OCC2CNN(C)C2)CCC1S(O)(O)N(C)C,LR00550,,,,,,,,,,,,,,,,,,,
CCC(O)NC1NC(C)CS1,LR00481,,,,,,,,,,,,,,,,,,,
CCC1CC(CNC(O)[C@H](CC2CCC(O[PH]([O-])([O-])O)CC2)NC(O)CC2CCC(F)CC2)CCC1F,LR00383,,,,,,,,,,,,,,,,,,,
CCC1CCC(CN2C(O)C3C[C@H](C(C)(C)O)CC[C@@H]3[C@]2(OCC2(CO)CC2)C2CCC(Cl)CC2)CC1,LR00358,,,,,,,,,,,,,,,,,,,
CCC1CSC(C2CNCN2)N1,LR00432,,,,,,,,,,,,,,,,,,,
CCC1NC(CN2CCCCC2O)NO1,LR00462,,,,,,,,,,,,,,,,,,,
CCC1NCC(CNC)S1,LR00433,,,,,,,,,,,,,,,,,,,
CCCC1CC(CNC(O)[C@H](CC2CCC(O[PH]([O-])([O-])O)CC2)NC(O)CC2CCC(F)CC2)CCC1F,LR00385,LR00386,,,,,,,,,,,,,,,,,,
CCCC1CC(O)OC2CC(OC(C)O)CCC12,LR00400,LR00401,,,,,,,,,,,,,,,,,,
CCCC1CCC(S(O)(O)NC2CCCC(N3NCC(C(O)O)C3C3CC3)C2)CC1,LR00202,,,,,,,,,,,,,,,,,,,
CCCCC1CCC(S(O)(O)N(CC(O)O)[C@H]2CCC[C@@H](N3NCC(C(O)O)[C@@H]3C3CC3)C2)CC1,LR00205,,,,,,,,,,,,,,,,,,,
