Ligase,Unified_Scaffold_ID,Recruiter_Count,Ligase_Local_Scaffold_Count,Scaffold_ID_Group,Recruiter_Code_Group,Total_Recruiters_For_Ligase,Supercluster_Density_For_Ligase
KEAP1,LR-SCAF00160,1,1,KEAP1_SCAF_28,LR00198,92,0.010869565217391304
KEAP1,LR-SCAF00168,1,1,KEAP1_SCAF_17,LR00180,92,0.010869565217391304
KEAP1,LR-SCAF00170,1,1,KEAP1_SCAF_45,LR00219,92,0.010869565217391304
KEAP1,LR-SCAF00171,1,1,KEAP1_SCAF_56,LR00234,92,0.010869565217391304
KEAP1,LR-SCAF00176,1,1,KEAP1_SCAF_63,LR00241,92,0.010869565217391304
KEAP1,LR-SCAF00182,1,1,KEAP1_SCAF_60,LR00238,92,0.010869565217391304
KEAP1,LR-SCAF00185,1,1,KEAP1_SCAF_21,LR00190,92,0.010869565217391304
KEAP1,LR-SCAF00189,1,1,KEAP1_SCAF_46,LR00220,92,0.010869565217391304
KEAP1,LR-SCAF00190,1,1,KEAP1_SCAF_70,LR00249,92,0.010869565217391304
KEAP1,LR-SCAF00200,1,1,KEAP1_SCAF_66,LR00244,92,0.010869565217391304
KEAP1,LR-SCAF00204,1,1,KEAP1_SCAF_44,LR00218,92,0.010869565217391304
KEAP1,LR-SCAF00210,1,1,KEAP1_SCAF_26,LR00196,92,0.010869565217391304
KEAP1,LR-SCAF00213,1,1,KEAP1_SCAF_34,LR00204,92,0.010869565217391304
KEAP1,LR-SCAF00216,1,1,KEAP1_SCAF_16,LR00178,92,0.010869565217391304
KEAP1,LR-SCAF00219,1,1,KEAP1_SCAF_40,LR00211,92,0.010869565217391304
KEAP1,LR-SCAF00229,1,1,KEAP1_SCAF_18,LR00181,92,0.010869565217391304
KEAP1,LR-SCAF00230,1,1,KEAP1_SCAF_58,LR00236,92,0.010869565217391304
KEAP1,LR-SCAF00240,1,1,KEAP1_SCAF_51,LR00226,92,0.010869565217391304
KEAP1,LR-SCAF00248,1,1,KEAP1_SCAF_25,LR00195,92,0.010869565217391304
KEAP1,LR-SCAF00261,1,1,KEAP1_SCAF_38,LR00209,92,0.010869565217391304
KEAP1,LR-SCAF00263,1,1,KEAP1_SCAF_54,LR00230,92,0.010869565217391304
KEAP1,LR-SCAF00268,1,1,KEAP1_SCAF_33,LR00203,92,0.010869565217391304
KEAP1,LR-SCAF00276,1,1,KEAP1_SCAF_49,LR00224,92,0.010869565217391304
KEAP1,LR-SCAF00279,1,1,KEAP1_SCAF_6,LR00165,92,0.010869565217391304
KEAP1,LR-SCAF00280,1,1,KEAP1_SCAF_8,LR00169,92,0.010869565217391304
KEAP1,LR-SCAF00282,1,1,KEAP1_SCAF_68,LR00247,92,0.010869565217391304
KEAP1,LR-SCAF00283,1,1,KEAP1_SCAF_35,LR00205,92,0.010869565217391304
KEAP1,LR-SCAF00305,1,1,KEAP1_SCAF_2,LR00160,92,0.010869565217391304
KEAP1,LR-SCAF00312,1,1,KEAP1_SCAF_57,LR00235,92,0.010869565217391304
KEAP1,LR-SCAF00322,1,1,KEAP1_SCAF_39,LR00210,92,0.010869565217391304
KEAP1,LR-SCAF00332,1,1,KEAP1_SCAF_61,LR00239,92,0.010869565217391304
KEAP1,LR-SCAF00334,1,1,KEAP1_SCAF_53,LR00228,92,0.010869565217391304
KEAP1,LR-SCAF00335,1,1,KEAP1_SCAF_20,LR00183,92,0.010869565217391304
KEAP1,LR-SCAF00357,1,1,KEAP1_SCAF_69,LR00248,92,0.010869565217391304
KEAP1,LR-SCAF00364,1,1,KEAP1_SCAF_62,LR00240,92,0.010869565217391304
KEAP1,LR-SCAF00367,1,1,KEAP1_SCAF_9,LR00170,92,0.010869565217391304
KEAP1,LR-SCAF00371,1,1,KEAP1_SCAF_59,LR00237,92,0.010869565217391304
LIVIN,LR-SCAF00005,1,1,LIVIN_SCAF_6,LR00256,7,0.14285714285714285
LIVIN,LR-SCAF00192,1,1,LIVIN_SCAF_1,LR00251,7,0.14285714285714285
LIVIN,LR-SCAF00231,1,1,LIVIN_SCAF_7,LR00257,7,0.14285714285714285
LIVIN,LR-SCAF00247,1,1,LIVIN_SCAF_4,LR00254,7,0.14285714285714285
LIVIN,LR-SCAF00281,1,1,LIVIN_SCAF_5,LR00255,7,0.14285714285714285
LIVIN,LR-SCAF00294,1,1,LIVIN_SCAF_3,LR00253,7,0.14285714285714285
LIVIN,LR-SCAF00309,1,1,LIVIN_SCAF_2,LR00252,7,0.14285714285714285
MDM2,LR-SCAF00075,10,1,MDM2_SCAF_17,LR00281;LR00282;LR00320;LR00335;LR00336;LR00359;LR00360;LR00361;LR00370;LR00371,116,0.08620689655172414
MDM2,LR-SCAF00031,7,1,MDM2_SCAF_102917a2,LR00300;LR00312;LR00333;LR00337;LR00350;LR00351;LR00369,116,0.0603448275862069
MDM2,LR-SCAF00333,5,1,MDM2_SCAF_3,LR00261;LR00262;LR00263;LR00334;LR00341,116,0.04310344827586207
MDM2,LR-SCAF00254,4,1,MDM2_SCAF_16,LR00278;LR00279;LR00280;LR00301,116,0.034482758620689655
MDM2,LR-SCAF00296,4,1,MDM2_SCAF_62,LR00353;LR00354;LR00355;LR00357,116,0.034482758620689655
MDM2,LR-SCAF00166,3,1,MDM2_SCAF_1,LR00258;LR00259;LR00367,116,0.02586206896551724
MDM2,LR-SCAF00187,3,1,MDM2_SCAF_22,LR00289;LR00290;LR00291,116,0.02586206896551724
MDM2,LR-SCAF00028,2,1,MDM2_SCAF_12,LR00273;LR00274,116,0.017241379310344827
MDM2,LR-SCAF00040,2,1,MDM2_SCAF_31,LR00303;LR00308,116,0.017241379310344827
MDM2,LR-SCAF00088,2,1,MDM2_SCAF_408680a6,LR00331;LR00332,116,0.017241379310344827
MDM2,LR-SCAF00101,2,1,MDM2_SCAF_26,LR00295;LR00330,116,0.017241379310344827
MDM2,LR-SCAF00104,2,1,MDM2_SCAF_18,LR00283;LR00284,116,0.017241379310344827
MDM2,LR-SCAF00114,2,1,MDM2_SCAF_21,LR00287;LR00288,116,0.017241379310344827
MDM2,LR-SCAF00146,2,1,MDM2_SCAF_44,LR00321;LR00322,116,0.017241379310344827
MDM2,LR-SCAF00164,2,1,MDM2_SCAF_29,LR00298;LR00299,116,0.017241379310344827
MDM2,LR-SCAF00221,2,1,MDM2_SCAF_11,LR00272;LR00328,116,0.017241379310344827
MDM2,LR-SCAF00231,2,1,MDM2_SCAF_4,LR00264;LR00368,116,0.017241379310344827
MDM2,LR-SCAF00285,2,1,MDM2_SCAF_33,LR00305;LR00307,116,0.017241379310344827
MDM2,LR-SCAF00341,2,1,MDM2_SCAF_54,LR00342;LR00347,116,0.017241379310344827
MDM2,LR-SCAF00349,2,1,MDM2_SCAF_7,LR00267;LR00268,116,0.017241379310344827
MDM2,LR-SCAF00004,1,1,MDM2_SCAF_56,LR00344,116,0.008620689655172414
MDM2,LR-SCAF00009,1,1,MDM2_SCAF_23,LR00292,116,0.008620689655172414
MDM2,LR-SCAF00018,1,1,MDM2_SCAF_57,LR00345,116,0.008620689655172414
MDM2,LR-SCAF00019,1,1,MDM2_SCAF_20,LR00286,116,0.008620689655172414
MDM2,LR-SCAF00021,1,1,MDM2_SCAF_42,LR00317,116,0.008620689655172414
MDM2,LR-SCAF00024,1,1,MDM2_SCAF_27,LR00296,116,0.008620689655172414
MDM2,LR-SCAF00048,1,1,MDM2_SCAF_45,LR00323,116,0.008620689655172414
MDM2,LR-SCAF00058,1,1,MDM2_SCAF_2bf86e3e,LR00373,116,0.008620689655172414
MDM2,LR-SCAF00062,1,1,MDM2_SCAF_67,LR00364,116,0.008620689655172414
MDM2,LR-SCAF00072,1,1,MDM2_SCAF_50,LR00329,116,0.008620689655172414
MDM2,LR-SCAF00076,1,1,MDM2_SCAF_35,LR00309,116,0.008620689655172414
MDM2,LR-SCAF00078,1,1,MDM2_SCAF_70,LR00372,116,0.008620689655172414
MDM2,LR-SCAF00086,1,1,MDM2_SCAF_8,LR00269,116,0.008620689655172414
MDM2,LR-SCAF00087,1,1,MDM2_SCAF_41,LR00316,116,0.008620689655172414
MDM2,LR-SCAF00089,1,1,MDM2_SCAF_28,LR00297,116,0.008620689655172414
MDM2,LR-SCAF00090,1,1,MDM2_SCAF_19,LR00285,116,0.008620689655172414
MDM2,LR-SCAF00103,1,1,MDM2_SCAF_25,LR00294,116,0.008620689655172414
MDM2,LR-SCAF00106,1,1,MDM2_SCAF_59,LR00348,116,0.008620689655172414
MDM2,LR-SCAF00110,1,1,MDM2_SCAF_43,LR00319,116,0.008620689655172414
MDM2,LR-SCAF00112,1,1,MDM2_SCAF_49,LR00327,116,0.008620689655172414
MDM2,LR-SCAF00127,1,1,MDM2_SCAF_68,LR00365,116,0.008620689655172414
MDM2,LR-SCAF00134,1,1,MDM2_SCAF_60,LR00349,116,0.008620689655172414
MDM2,LR-SCAF00138,1,1,MDM2_SCAF_14,LR00276,116,0.008620689655172414
MDM2,LR-SCAF00139,1,1,MDM2_SCAF_13,LR00275,116,0.008620689655172414
MDM2,LR-SCAF00143,1,1,MDM2_SCAF_24,LR00293,116,0.008620689655172414
MDM2,LR-SCAF00147,1,1,MDM2_SCAF_6,LR00266,116,0.008620689655172414
MDM2,LR-SCAF00149,1,1,MDM2_SCAF_58,LR00346,116,0.008620689655172414
MDM2,LR-SCAF00155,1,1,MDM2_SCAF_10,LR00271,116,0.008620689655172414
MDM2,LR-SCAF00161,1,1,MDM2_SCAF_760ab01a,LR00318,116,0.008620689655172414
MDM2,LR-SCAF00162,1,1,MDM2_SCAF_55,LR00343,116,0.008620689655172414
MDM2,LR-SCAF00178,1,1,MDM2_SCAF_37,LR00311,116,0.008620689655172414
MDM2,LR-SCAF00180,1,1,MDM2_SCAF_32,LR00304,116,0.008620689655172414
MDM2,LR-SCAF00184,1,1,MDM2_SCAF_34,LR00306,116,0.008620689655172414
MDM2,LR-SCAF00194,1,1,MDM2_SCAF_64,LR00358,116,0.008620689655172414
MDM2,LR-SCAF00196,1,1,MDM2_SCAF_61,LR00352,116,0.008620689655172414
MDM2,LR-SCAF00201,1,1,MDM2_SCAF_15,LR00277,116,0.008620689655172414
MDM2,LR-SCAF00202,1,1,MDM2_SCAF_48,LR00326,116,0.008620689655172414
MDM2,LR-SCAF00206,1,1,MDM2_SCAF_5,LR00265,116,0.008620689655172414
MDM2,LR-SCAF00223,1,1,MDM2_SCAF_39,LR00314,116,0.008620689655172414
MDM2,LR-SCAF00226,1,1,MDM2_SCAF_38,LR00313,116,0.008620689655172414
MDM2,LR-SCAF00228,1,1,MDM2_SCAF_47,LR00325,116,0.008620689655172414
MDM2,LR-SCAF00233,1,1,MDM2_SCAF_52,LR00339,116,0.008620689655172414
MDM2,LR-SCAF00258,1,1,MDM2_SCAF_65,LR00362,116,0.008620689655172414
MDM2,LR-SCAF00277,1,1,MDM2_SCAF_2,LR00260,116,0.008620689655172414
MDM2,LR-SCAF00288,1,1,MDM2_SCAF_51,LR00338,116,0.008620689655172414
MDM2,LR-SCAF00292,1,1,MDM2_SCAF_66,LR00363,116,0.008620689655172414
MDM2,LR-SCAF00301,1,1,MDM2_SCAF_53,LR00340,116,0.008620689655172414
MDM2,LR-SCAF00313,1,1,MDM2_SCAF_30,LR00302,116,0.008620689655172414
MDM2,LR-SCAF00327,1,1,MDM2_SCAF_69,LR00366,116,0.008620689655172414
MDM2,LR-SCAF00331,1,1,MDM2_SCAF_63,LR00356,116,0.008620689655172414
MDM2,LR-SCAF00338,1,1,MDM2_SCAF_46,LR00324,116,0.008620689655172414
