RECRUITER_CODE,MasterRecruiter,Ligand
LR00018,LR00006,EF2
LR00019,LR00006,EF2
LR00023,LR00006,EF2
LR00024,LR00006,EF2
LR00029,LR00006,EF2
LR00032,LR00006,EF2
LR00033,LR00006,EF2
LR00034,LR00006,EF2
LR00035,LR00006,EF2
LR00036,LR00006,EF2
LR00037,LR00006,EF2
LR00040,LR00006,EF2
LR00044,LR00006,EF2
LR00050,LR00006,EF2
LR00065,LR00006,EF2
LR00145,LR00145,EF6
LR00146,LR00145,EF6
LR00147,LR00145,EF6
LR00527,LR00527,EXE
LR00526,LR00526,EXH
LR00338,LR00338,EYH
LR00528,LR00528,F4K
LR00045,LR00045,F4U
LR00179,LR00179,FB2
LR00153,LR00153,FHH
LR00339,LR00339,FL5
LR00587,LR00587,FUE
LR00586,LR00586,FUK
LR00158,LR00158,FUU
LR00159,LR00158,FUU
LR00368,LR00368,FX9
LR00253,LR00253,G13
LR00372,LR00372,G7I
LR00228,LR00228,GFD
LR00472,LR00472,GQJ
LR00469,LR00469,GX4
LR00182,LR00182,GX8
LR00422,LR00422,H04
LR00340,LR00340,H28
LR00265,LR00265,HIA
LR00568,LR00568,HOX
LR00342,LR00342,HRE
LR00347,LR00342,HRE
LR00343,LR00343,HRH
LR00349,LR00349,HRQ
LR00348,LR00348,HRT
LR00344,LR00344,HTZ
LR00345,LR00345,HU8
LR00346,LR00346,HUE
LR00287,LR00287,I09
LR00283,LR00283,I18
LR00284,LR00283,I18
LR00286,LR00286,I29
LR00285,LR00285,I31
LR00258,LR00258,IMZ
LR00259,LR00258,IMZ
LR00164,LR00164,IQK
LR00603,LR00603,IUN
LR00397,LR00397,J4Q
LR00183,LR00183,J6H
LR00187,LR00187,J6K
LR00184,LR00184,J6N
LR00185,LR00184,J6N
LR00186,LR00186,J6Q
LR00188,LR00188,J8H
LR00448,LR00448,JFM
LR00481,LR00481,JFP
LR00466,LR00466,JGP
LR00385,LR00385,JH9
LR00386,LR00385,JH9
LR00384,LR00384,JHR
LR00383,LR00383,JI0
LR00382,LR00382,JI9
LR00381,LR00381,JIH
LR00402,LR00402,JMM
LR00028,LR00028,JNW
LR00030,LR00030,JO2
LR00031,LR00031,JOB
LR00038,LR00038,JP5
LR00039,LR00039,JPB
LR00041,LR00041,JPQ
LR00403,LR00403,K1G
LR00404,LR00403,K1G
LR00428,LR00428,K1P
LR00269,LR00269,K23
LR00450,LR00450,K2M
LR00169,LR00169,K67
LR00413,LR00413,K6U
