Ligase,Scaffold_ID,Original_Scaffold_ID,RECRUITER_CODE,Scaffold_SMILES,Scaffold_Hash
CRBN,LR-SCAF00177,CRBN_SCAF_33,LR00101,C1CCC(CSN2CC3CCCC[C@H]3C[C@H]2CNCC2CCN3C(C2)NCC3N2CCCNC2)CC1,8175cc01
CRBN,LR-SCAF00237,CRBN_SCAF_34,LR00102,C1CCC(C2CCC[C@H]([C@H]3CCCNC3)C2)CC1,9c337ed6
CRBN,LR-SCAF00060,CRBN_SCAF_35,LR00103,C1CNC[C@@H](N2CC([C@H]3CCSC3)NN2)C1,2dd93745
CRBN,LR-SCAF00346,CRBN_SCAF_36,LR00104,C1CNC[C@@H](N2CC3CCC([C@H]4CC(CN5CCCC5)C5CCNC5N4)C[C@@H]3C2)C1,eae92d5d
CRBN,LR-SCAF00027,CRBN_SCAF_37,LR00105,C1CNC[C@@H](N2CC3C4OCC5(CCNCC5)C4CC[C@@H]3C2)C1,0ee46d59
CRBN,LR-SCAF00271,CRBN_SCAF_38,LR00106,C1CNCN([C@@H]2CNC3C4OCC5(CCNCC5)C4CCN32)C1,b49d704d
CRBN,LR-SCAF00211,CRBN_SCAF_39,LR00107,C1CNC[C@@H](N2CC3CC[C@H]([C@H]4C[C@@H](CN5CCCC5)C5CCNC5N4)CC3C2)C1,8d6d2ee3
CRBN,LR-SCAF00368,CRBN_SCAF_40,LR00108,C1CNC[C@@H](N2CC3CC[C@@H]([C@@H]4CC(CN5CCCC5)C5CCN(C6COC6)C5N4)CC3C2)C1,fdba3dfb
CRBN,LR-SCAF00289,CRBN_SCAF_41,LR00109,C1CNC[C@@H](C2NNC3CC(N4CCC(NC5NCCC(NC6CCC7NCNC7C6)N5)CC4)CCC32)C1,c0f4f282
CRBN,LR-SCAF00181,CRBN_SCAF_42,LR00110,C1CCC(CN2CCC([C@H]3CCC4CN([C@H]5CCCNC5)CC4C3)CC2)CC1,81df215f
CRBN,LR-SCAF00315,CRBN_SCAF_3,LR00111,C1CCC(NCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,d068cd94
CRBN,LR-SCAF00137,CRBN_SCAF_43,LR00112,C(CCCCNCCN[C@H]1CCCNC1)CCCCNCC[C@@H]1N[C@@H](C2CCCCC2)C2CCS[C@H]2N2CNN[C@@H]12,60105a36
CRBN,LR-SCAF00116,CRBN_SCAF_44,LR00113,C1CC2CN([C@H]3CCCNC3)CC2C(NCC2CCC(CN3CC(N4CCOCC4)C3)CC2)C1,53403914
Cbl-b,LR-SCAF00286,Cbl-b_SCAF_1,LR00114,C1CCN(CC2CCC3NN(C4CCCC(C5(C6NCNN6)CCC5)C4)CN3C2)CC1,bf99e947
Cbl-b,LR-SCAF00363,Cbl-b_SCAF_2,LR00115,C1CCN(CC2CCC3NN(C4CCCC(C5CCNCC5)C4)CN3C2)CC1,f6f80973
Cbl-b,LR-SCAF00337,Cbl-b_SCAF_3,LR00116,C1CC(NCC2CCNC(C3CC3)N2)CC(C2CCNCO2)C1,e3a2391e
DCAF1,LR-SCAF00316,DCAF1_SCAF_1,LR00117,C1CCC(N2CCC[C@@H](NC3CC(N4CCOCC4)NCN3)C2)CC1,d191821e
DCAF1,LR-SCAF00328,DCAF1_SCAF_2,LR00118,C1CCC(CNC[C@@H]2CNN[C@@H]2C2CCCCC2)CC1,dff42204
DCAF1,LR-SCAF00121,DCAF1_SCAF_3,LR00119,C1CCC(CNC[C@@H]2CNNC2C2CCCCC2)CC1,553161db
DCAF1,LR-SCAF00098,DCAF1_SCAF_4,LR00120,C1CCC([C@@H]2CC3CCCCC3C3NCCN32)CC1,45c0b344
DCAF1,LR-SCAF00098,DCAF1_SCAF_4,LR00121,C1CCC([C@@H]2CC3CCCCC3C3NCCN32)CC1,45c0b344
DCAF1,LR-SCAF00098,DCAF1_SCAF_4,LR00122,C1CCC([C@@H]2CC3CCCCC3C3NCCN32)CC1,45c0b344
DCAF1,LR-SCAF00098,DCAF1_SCAF_4,LR00123,C1CCC([C@@H]2CC3CCCCC3C3NCCN32)CC1,45c0b344
DCAF1,LR-SCAF00098,DCAF1_SCAF_4,LR00124,C1CCC([C@@H]2CC3CCCCC3C3NCCN32)CC1,45c0b344
DCAF1,LR-SCAF00244,DCAF1_SCAF_5,LR00125,C1CCC(OC2CCCC([C@H]3CCNC3)C2)CC1,a0082199
DCAF1,LR-SCAF00173,DCAF1_SCAF_6,LR00126,C1CCC(CCC2CC3CCCCC3C3NCCN23)CC1,7fb2ecd2
DCAF1,LR-SCAF00173,DCAF1_SCAF_6,LR00127,C1CCC(CCC2CC3CCCCC3C3NCCN23)CC1,7fb2ecd2
DCAF1,LR-SCAF00025,DCAF1_SCAF_7,LR00128,C1CCC(C2(C3C[C@@H]4CCCCC4C4NCCN43)CC2)CC1,0dad107d
