Ligase,Scaffold_ID,Recruiter_Count,Scaffold_Hash,Original_Scaffold_ID_Group,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
DCAF1,LR-SCAF00225,2,93b39f15,DCAF1_SCAF_11,C1CCC(C2([C@@H]3NC[C@@H]4CC[C@@H](N5CCNCC5)C[C@H]4N3)CCCCC2)CC1,C1CCC(C2([C@@H]3NC[C@@H]4CC[C@@H](N5CCNCC5)C[C@H]4N3)CCCCC2)CC1,Polycyclic_Hetero,1.912050764632214e-15,-0.0502131572202149,-2.599772249330575e-15,1,25,0.08,2.675181144602197,0.9442215674348866
DCAF1,LR-SCAF00257,2,ab5e5c84,DCAF1_SCAF_10,C1CCC(C2([C@@H]3NCC4CCC(N5CCNCC5)CC4N3)CCCC2)CC1,C1CCC(C2([C@@H]3NCC4CCC(N5CCNCC5)CC4N3)CCCC2)CC1,Polycyclic_Hetero,-3.00436004576825e-14,6.43607550507337e-17,0.0105008216051594,1,25,0.08,2.675181144602197,0.9442215674348866
DCAF1,LR-SCAF00011,1,071ba927,DCAF1_SCAF_16,C1CCC(CNC[C@@H]2CNCC2C2CCCCC2)CC1,C1CCC(CNC[C@@H]2CNCC2C2CCCCC2)CC1,Polycyclic_Hetero,-4.769847068759932e-16,1.7475732795025612e-15,0.1096618778955528,1,25,0.04,2.675181144602197,0.9442215674348866
DCAF1,LR-SCAF00108,1,4c5b1339,DCAF1_SCAF_15,C1CCC(CNCC2CNC(CCCN3CCCCC3)C2C2CCCCC2)CC1,C1CCC(CNCC2CNC(CCCN3CCCCC3)C2C2CCCCC2)CC1,Polycyclic_Hetero,9.268938892767974e-15,-3.9476968702536815e-15,-5.978123978750843e-16,1,25,0.04,2.675181144602197,0.9442215674348866
DCAF1,LR-SCAF00121,1,553161db,DCAF1_SCAF_3,C1CCC(CNC[C@@H]2CNNC2C2CCCCC2)CC1,C1CCC(CNC[C@@H]2CNNC2C2CCCCC2)CC1,Polycyclic_Hetero,-2.027728090258777e-15,7.524379442365211e-15,0.1004752394501708,1,25,0.04,2.675181144602197,0.9442215674348866
DCAF1,LR-SCAF00145,1,663967fd,DCAF1_SCAF_9,C1CCC(C2(C3NCC4CCC(N5CCNCC5)CC4N3)CC2)CC1,C1CCC(C2(C3NCC4CCC(N5CCNCC5)CC4N3)CC2)CC1,Polycyclic_Hetero,-2.3261815754050895e-14,-9.213088845619552e-15,-0.0564689322915578,1,25,0.04,2.675181144602197,0.9442215674348866
DCAF1,LR-SCAF00209,1,8d22e845,DCAF1_SCAF_13,C1CCC(CNCC2CN[C@H](C3CNNC3)[C@@H]2C2CCCCC2)CC1,C1CCC(CNCC2CN[C@H](C3CNNC3)[C@@H]2C2CCCCC2)CC1,Polycyclic_Hetero,1.5563618769822196e-14,1.3069887052971842e-14,-3.5040346692592444e-14,1,25,0.04,2.675181144602197,0.9442215674348866
DCAF1,LR-SCAF00244,1,a0082199,DCAF1_SCAF_5,C1CCC(OC2CCCC([C@H]3CCNC3)C2)CC1,C1CCC(OC2CCCC([C@H]3CCNC3)C2)CC1,Polycyclic_Hetero,-2.178871740243073e-14,-1.4000620993517664e-14,0.1026127489565635,1,25,0.04,2.675181144602197,0.9442215674348866
DCAF1,LR-SCAF00250,1,a4c5b1f7,DCAF1_SCAF_17,C1CCC(CNC[C@@H]2CN[C@@H](C3CNN(CC[NH+]4CCOCC4)C3)[C@@H]2C2CCCCC2)CC1,C1CCC(CNC[C@@H]2CN[C@@H](C3CNN(CC[NH+]4CCOCC4)C3)[C@@H]2C2CCCCC2)CC1,Polycyclic_Hetero,-2.6687149222519057e-14,-1.474376176702208e-14,-0.0314187737255214,1,25,0.04,2.675181144602197,0.9442215674348866
DCAF1,LR-SCAF00256,1,aa4c7f11,DCAF1_SCAF_14,C1CCC(CNC[C@@H]2CNC[C@@H]2C2CCCCC2)CC1,C1CCC(CNC[C@@H]2CNC[C@@H]2C2CCCCC2)CC1,Polycyclic_Hetero,4.020323169024104e-13,4.3880537064027254e-14,0.1096618778956274,1,25,0.04,2.675181144602197,0.9442215674348866
